plot_file,figure_tier,recommendation_status,reason,suggested_use,title,caption_note,known_limitation
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_incoming_3d_1995_2016_portfolio.png,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,Incoming green exposure is more volatile than local green-ness,"Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.",Use as contextual 3D trajectory.
outputs\plots\abm_v3\phase_space\phase_space_sector_green_readiness_incoming_3d_1995_2016_portfolio.png,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,Sector trajectories reveal distinct capability-constrained transition paths,Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,Filtered view; not all sectors or nodes are displayed.
outputs\plots\abm_v3\phase_space\phase_space_nodes_top10_output_green_readiness_incoming_3d_1995_2016_portfolio.png,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,Incoming green exposure is more volatile than local green-ness,Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,Filtered view; not all sectors or nodes are displayed.
outputs\plots\abm_v3\phase_space\phase_space_nodes_top10_emissions_green_readiness_incoming_3d_1995_2016_portfolio.png,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,Incoming green exposure is more volatile than local green-ness,Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,Filtered view; not all sectors or nodes are displayed.
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_incoming_xy_1995_2016_portfolio.png,thesis-core,recommended-draft,Directly supports the main phase-space interpretation.,main thesis figure candidate,"Green capability and local green-ness rise together, but not smoothly","Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.",Use with directional-proxy caveat.
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_incoming_xy_1995_2016_portfolio.png,diagnostic,diagnostic-until-validated,Use mainly as a diagnostic until movement geometry is validated.,diagnostic review only,Historical movement fields show uneven motion across the green-readiness space,"Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_incoming_3d_1995_2016_research.svg,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,"Global trajectory in green capability, local green-ness, and incoming network green-ness, 1995-2016","Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.",Use as contextual 3D trajectory.
outputs\plots\abm_v3\phase_space\phase_space_sector_green_readiness_incoming_3d_1995_2016_research.svg,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,"Sector-level trajectories in green capability, local green-ness, and network green-ness, 1995-2016",Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,Filtered view; not all sectors or nodes are displayed.
outputs\plots\abm_v3\phase_space\phase_space_nodes_top25_output_green_readiness_incoming_3d_1995_2016_research.svg,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,"Global trajectory in green capability, local green-ness, and incoming network green-ness, 1995-2016",Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,Filtered view; not all sectors or nodes are displayed.
outputs\plots\abm_v3\phase_space\phase_space_nodes_top25_emissions_green_readiness_incoming_3d_1995_2016_research.svg,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,"Global trajectory in green capability, local green-ness, and incoming network green-ness, 1995-2016",Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,Filtered view; not all sectors or nodes are displayed.
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_incoming_xy_1995_2016_research.svg,thesis-core,recommended-draft,Directly supports the main phase-space interpretation.,main thesis figure candidate,"Output-weighted global trajectory in green capability and local green-ness, 1995-2016","Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.",Use with directional-proxy caveat.
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_incoming_xy_1995_2016_research.svg,diagnostic,diagnostic-until-validated,Use mainly as a diagnostic until movement geometry is validated.,diagnostic review only,"Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_incoming_xz_1995_2016_research.svg,diagnostic,diagnostic-until-validated,Use mainly as a diagnostic until movement geometry is validated.,diagnostic review only,"Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_incoming_yz_1995_2016_research.svg,diagnostic,diagnostic-until-validated,Use mainly as a diagnostic until movement geometry is validated.,diagnostic review only,"Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_outgoing_3d_1995_2016_portfolio.png,thesis-core,recommended-draft,Directly supports the main phase-space interpretation.,main thesis figure candidate,The system becomes locally greener faster than it becomes network-greener,"Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.","Outgoing network green-ness is directional, not aggregate network_green_exposure."
outputs\plots\abm_v3\phase_space\phase_space_sector_green_readiness_outgoing_3d_1995_2016_portfolio.png,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,Sector trajectories reveal distinct capability-constrained transition paths,Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,Filtered view; not all sectors or nodes are displayed.
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_outgoing_xy_1995_2016_portfolio.png,diagnostic,diagnostic-until-validated,Use mainly as a diagnostic until movement geometry is validated.,diagnostic review only,Historical movement fields show uneven motion across the green-readiness space,"Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_outgoing_3d_1995_2016_research.svg,thesis-core,recommended-draft,Directly supports the main phase-space interpretation.,main thesis figure candidate,"Global trajectory in green capability, local green-ness, and outgoing network green-ness, 1995-2016","Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.","Outgoing network green-ness is directional, not aggregate network_green_exposure."
outputs\plots\abm_v3\phase_space\phase_space_sector_green_readiness_outgoing_3d_1995_2016_research.svg,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,"Sector-level trajectories in green capability, local green-ness, and network green-ness, 1995-2016",Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,Filtered view; not all sectors or nodes are displayed.
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_outgoing_xy_1995_2016_research.svg,diagnostic,diagnostic-until-validated,Use mainly as a diagnostic until movement geometry is validated.,diagnostic review only,"Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_outgoing_xz_1995_2016_research.svg,diagnostic,diagnostic-until-validated,Use mainly as a diagnostic until movement geometry is validated.,diagnostic review only,"Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_outgoing_yz_1995_2016_research.svg,diagnostic,diagnostic-until-validated,Use mainly as a diagnostic until movement geometry is validated.,diagnostic review only,"Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.
outputs\plots\abm_v3\phase_space\phase_space_global_production_safe_incoming_3d_1995_2016_portfolio.png,research-support,supporting,"Useful for documenting heterogeneity, directional network proxies, or production-safe checks.",methods or appendix support,"Greening occurs alongside rising production scale, not through collapse",This plot checks whether apparent greening occurs alongside production resilience rather than output collapse.,Use as contextual 3D trajectory.
outputs\plots\abm_v3\phase_space\phase_space_global_production_safe_incoming_xy_1995_2016_portfolio.png,thesis-core,recommended-draft,Directly supports the main phase-space interpretation.,main thesis figure candidate,Local green-ness improves while production scale expands,This plot checks whether apparent greening occurs alongside production resilience rather than output collapse.,Use with directional-proxy caveat.
